             ,             ,BHARAT SEATS LIMITED     ,             ,             
             ,             ,               ,             ,             
Vendor Introduced by:             ,Name:             ,Designation:             ,Date:             ,             
             ,test,test,05-12-2018 00:00:00,             
             ,             ,               ,             ,             
             ,             ,VENDOR QUESTIONNAIRE     ,             ,             
             ,             ,               ,             ,             
1. Company's Profile:,             ,               ,             ,             
            ,             ,               ,             ,             
1.1 Name Of Company: ,             ,               ,             ,             
n,             ,               ,             ,             
1.2 Address Of Company: ,             ,               ,             ,             
            , Registered Office: , Head Office: , Plant: ,             
            ,na,na,na,             
            ,             ,               ,             ,             
            , Telephone: , Telephone: , Telephone: ,             
            ,1111111111,1111111111,1111111111,             
            , Fax: , Fax: , Fax: ,             
            ,1111,11111111,11111111,             
            , e-mail: , e-mail: , e-mail: ,             
            ,com,com,com,             
1.3 Contact Persons: ,             ,               ,             ,             
            , Name: , Designation: ,Contact Numbers Office: , Contact Numbers  Residence 
            ,na1,na1,1111111111,1111111111,
            ,na2,na2,1111111112,1111111112,
            ,na3,na3,1111111113,1111111113,
            ,na4,na4,1111111114,1111111114,
1.4 Product Manufactured By Company: ,             ,               ,             ,             
            , Name Of Product: , Main Customer(To Whom you Supply): ,Commencement of Supply(year): ,% of annual Turn over
            ,nap1,nam1,2015,1.00,
            ,nap2,nam2,2016,2.00,
            ,nap3,nam3,2017,3.00,
            ,nap4,nam3,2018,4.00,
1.5 Certification Details: ,             ,               ,             ,             
            , Is your company certified for
,ISO/ QS/ TS/ TPM/ Any other quality system
,(If yes then furnish the below details):,Yes
            , Name Of Quality System: , Certifying Agency: ,Year of Certification: ,   
            ,qa1,ca1,2015,,             
            ,qa2,ca2,2016,,             
            ,qa3,ca3,2017,,             
            ,qa4,ca4,2018,,             
1.6 Do you have Bar-Coding
System for Material Supply?
If yes since which year: ,Yes,2019
1.7 Details Of Plant ,        ,     ,             ,             
     , a) Total Area(sq-mts):,25,        ,             
     , b) Total Covered Area(sq-mts):,55,        ,             
     , c) Connected Electrical Road(kva):,23,        ,             
     , d) Availability of alternate
   ,source of Electricity(In-House)
   ,& Capacity (kva):,gen
1.8 Partnership / Joint-venture
 / foreign collaboration / 
technical Tie -up 
            , Description & Name: , Date  Of Association: ,Partnership: , Remarks 
            ,dn1,01-03-2019 00:00:00,p1,r1
            ,dn2,02-03-2019 00:00:00,p2,r2
            ,dn3,03-03-2019 00:00:00,p3,r3
            ,dn4,04-03-2019 00:00:00,p4,r4
1.9 Other Details:,        ,     ,             ,             
     , a) Installed Capacity per annum
  ,(w.r.t BSL's Parts):,com
     , b) Spare Capacity available
  , for BSL (in %):,2.00
1.10  Mode of Material Transport:,Own,     ,             ,             
1.11 Future Expansion Plans:,Details of Plan with Target Date:
http://localhost:2840/Vendor_Rating S10001  26-02-2019 175207.csv,             
            ,             ,               ,             ,             
2. Financial's Details:,             ,               ,             ,             
            ,             ,               ,             ,             
2.1 Attach Balance Sheet for
last Years(as annexure):
http://localhost:2840/Vendor_Rating S10001  26-02-2019 175623.csv
 2.2 Company's Bankers Details:,         ,           ,             ,             
    , Name Of Bank :,  Address ,   Telephone Nos ,      
            ,nob1,ad1,1111111111,     
            ,nob2,ad2,2222222222,     
            ,nob3,ad3,3333333333,     
            ,nob4,ad4,4444444444,     
2.3 Turnover Details of Previous Year:,         ,           ,             ,             
    , Name Of Customer :,  Turn-Over(in Rs Lacs) , Remarks ,      
            ,noc1,1,r1,     
            ,noc2,2,r2,     
            ,noc3,3,r3,     
            ,noc4,4,r4,     
2.4  Sales Tax No:,test,           ,             ,             
2.5  Excise Registration No:,testReg,           ,             ,             
2.6  Permanent A/C No:,ffffffffff,           ,             ,             
2.7  TDS A/C No:,testtds,           ,             ,             
            ,             ,               ,             ,             
3. Financial's Details:,             ,               ,             ,             
            ,             ,               ,             ,             
 3.1 Total Employees:,     ,     ,        ,             
    ,  Permanent:   , Unionised: ,  Non-Unionised:      , Casuals  
            ,1,1,1,1
    ,  i) Managers  ,1,       ,  
    ,  ii) Supervisors:  ,Degree Holder, Diploma Holders, Others 
            ,1,1,1,1
    ,  iii) Production:  ,1    ,  
    ,a) Direct , ITI:   ,   Non-ITI  ,     
            ,1,1,1,
            ,1,1,1,
    ,b) Indirect , ITI:   ,   Non-ITI  ,     
            ,1,1,1,
    ,  iv) QA  ,1,       ,  
    ,  v) Administration  ,11,       ,  
3.2 Do you have worker's Union,Yes,     ,        ,             
3.3 Is There any Long Term
Settlement with the Union?,Yes
3.4 Give details of Strike Lock
out go slow etc during the
last 3 years if any,yu
3.5 How is the IR situation?,wsd,     ,        ,             
3.6 Number of shifts timings,25145,     ,        ,             
3.7 Details Of Training Programs,    ,     ,        ,             
 , a) Annual Training Plan? ,Yes,        ,             
 , b)Training Programmes being
 ,planned (yearly Target) ,Internal
 , c) Training Conducted Last year (in NOS) ,,        ,             
 , d) Foreign Training, If any,,        ,             
 ,Subject Covered:,Managers:, Staff, Workmen 
            ,         ,1,1,1
            ,             ,               ,             ,             
4. Technical Details:,             ,               ,             ,             
            ,             ,               ,             ,             
4.1 Details of Machinery & Equipment:,     ,     ,        ,             
S.No:,  Description and Make   ,   Qty  , Type (GPM/SPM/CNC etc.) ,   Remarks / Purpose 
1,cc,2,ccc,cc
Details of other Machinary &
Equipment (Attach separate sheet):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx
4.2 Details of In-house Testing
& Inspection Facilities:
S.No:,  Description and Make   ,   Qty  , Purpose ,   Remarks 
1,cc,1,cc,cc
Details of other In-house Testing &
Inspection Facilities(Attach separate sheet):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx
4.3 R & D Facilities:,Yes,            ,             ,             
Details of other R&D
Facilities (Attach separate sheet):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx,             
4.4 Source of Raw Material
(BSL Related Product) 
,  S.No:   ,   Description  , Source ,   Remarks 
     ,1,cc,cc,cc
Details of other Raw Materials
Facilities (Attach separate sheet):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx
4.5 Tracebility: (Kindly define
your product Traceability System 
in separat sheet) ,c
4.6 Describe the Reaction Plan
for Non-conforming products 
(Attach separate sheet):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx
4.7 Any Special Process/Facility:
Yes
4.8 Rejection Monitoring System:
Yes
4.9 Customer Satisfaction Index/Trend:
Yes
4.10 Give details of Inspection
Procedures(Sampling Self-certification etc.):
http://localhost:2840/com S10001  06-12-2018 152028.xlsx,             
4.11 Exposure to National /
 International Standards 
                  ,             , Please Tick    ,Specify Nos. (which you are currently using),             
         ,a)IS / ISO*,Yes,cc,             
         ,b)EN/BS*,Yes,fgd,             
         ,c)JIS/JASO*,Yes,fgdg,             
         ,d)DIN*,Yes,gg,             
         ,e)Any Others*,Yes,fgsd,             
